Contrato,Protheus,Cliente,Desde,Dt. Iní. Vigência,Dt. Fim Vigência,Vl. Contratado (R$),Vl. Faturado (R$),Vl. Saldo (R$),Tipo,Situação,Vigente,Dir.,Ger.,Gerente,Objeto
13/2024 - SF,3096-1,SF,2024-03-19,2026-03-19,2027-03-18,6927214.31,0.0,6927214.31,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,CRÉDITOS PARA UTILIZAÇÃO EM NUVEM PÚBLICA AMAZON WEB SERVICES
08/2026-SGM,3432-0,SGM,2026-03-26,2026-03-26,2027-03-25,1743057.16,0.0,1743057.16,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,"MODERNIZAÇÃO, AUTOMAÇÃO E SUSTENTAÇÃO PROCESSO GESTÃO DE EMENDA PARLA"
094/2023,2899-8,HSPM,2023-04-01,2026-04-01,2027-03-31,4343252.29,316085.15,4027167.14,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,"PRESTAÇÃO DE SERVIÇOS DESENVOLVIMENTO, SUSTENTAÇÃO E MELHORIAS DE TIC"
09/2024 - TCM,3095-4,TCM,2024-04-05,2026-04-05,2027-04-04,272626.82,0.0,272626.82,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
05/SP-REGULA/2026,3433-0,SP REGULA,2026-04-15,2026-04-15,2027-04-14,702512.94,0.0,702512.94,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,PLATAFORMA GOOGLE CLOUD
019/SMPED/2024,3105-1,SMPED,2024-05-06,2024-05-06,2027-05-05,351436.77,130482.27,220954.5,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
34/2024,3112-0,ADESAMPA,2024-05-13,2024-05-13,2027-05-12,844081.56,529090.0,314991.56,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,GERENCIAMENTO DE CONTRATAÇÕES DE TERCEIROS
TC S/N/2024-ICI,3241-2,ICI,2025-01-23,2025-08-25,2027-08-24,1211023.68,581111.04,629912.64,SUSTENTA??O,Vigente,Vigente,DRM,GRC-C,DEBORA ALVES SANTOS DE CARVALHO SILVA,MICROSOFT OFFICE 365
05/2025-SPDA,3404-0,SPDA,2026-01-08,2026-01-08,2028-01-07,2599432.8,10893.87,2588538.93,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
014/2024-SEHAB,3133-4,SEHAB,2024-07-22,2024-07-22,2029-07-21,22749213.13,6688406.75,16060806.38,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SUSTENTAÇÃO DE TIC
105/2025-SMS-1/CONTRATOS,3388-0,FMS,2025-12-01,2025-12-01,2030-11-30,212974949.7,14198330.0,198776619.7,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-2,MARCELLO LOURENCO BETONE      ,MIGRAÇÃO DO SISTEMA E-SAÚDE PARA AS NUVENS
